"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2021","1,322.40","1,307.24","1,324.89","1,307.24","-","1.16%"
"Sep 24, 2021","1,307.24","1,307.92","1,312.13","1,304.08","-","-0.02%"
"Sep 23, 2021","1,307.55","1,294.41","1,308.16","1,294.14","-","1.02%"
"Sep 22, 2021","1,294.41","1,293.33","1,299.86","1,293.33","-","0.02%"
"Sep 21, 2021","1,294.19","1,286.36","1,294.90","1,286.36","-","0.68%"
"Sep 20, 2021","1,285.49","1,304.38","1,304.38","1,272.46","-","-1.51%"
"Sep 17, 2021","1,305.24","1,301.89","1,307.05","1,301.83","-","0.25%"
"Sep 16, 2021","1,301.98","1,295.35","1,306.25","1,295.26","-","0.53%"
"Sep 15, 2021","1,295.16","1,298.31","1,302.11","1,295.16","-","-0.24%"
"Sep 14, 2021","1,298.31","1,288.89","1,299.99","1,288.89","-","0.73%"
"Sep 13, 2021","1,288.89","1,283.92","1,291.47","1,283.92","-","0.34%"
"Sep 10, 2021","1,284.48","1,286.08","1,290.64","1,282.20","-","-0.13%"
"Sep 09, 2021","1,286.16","1,289.76","1,289.87","1,283.46","-","-0.34%"
"Sep 08, 2021","1,290.51","1,290.59","1,293.37","1,287.10","-","-0.01%"
"Sep 07, 2021","1,290.67","1,290.73","1,295.65","1,290.36","-","-0.00%"
"Sep 06, 2021","1,290.73","1,293.99","1,294.95","1,289.53","-","-0.22%"
"Sep 03, 2021","1,293.62","1,291.06","1,295.84","1,290.50","-","0.20%"
"Sep 02, 2021","1,291.06","1,290.25","1,294.45","1,288.21","-","0.06%"
"Sep 01, 2021","1,290.25","1,284.17","1,293.76","1,284.17","-","0.48%"
"Aug 31, 2021","1,284.15","1,282.89","1,286.21","1,280.02","-","0.10%"
"Aug 30, 2021","1,282.89","1,282.09","1,286.80","1,281.14","-","0.04%"
"Aug 27, 2021","1,282.33","1,280.87","1,283.99","1,279.96","-","0.11%"
"Aug 26, 2021","1,280.92","1,289.91","1,293.27","1,280.71","-","-0.71%"
"Aug 25, 2021","1,290.02","1,286.20","1,290.52","1,283.65","-","0.30%"
"Aug 24, 2021","1,286.18","1,283.10","1,288.89","1,283.10","-","0.24%"
"Aug 23, 2021","1,283.10","1,274.40","1,284.52","1,274.40","-","0.68%"
"Aug 20, 2021","1,274.40","1,274.20","1,276.17","1,265.55","-","0.02%"
"Aug 19, 2021","1,274.20","1,290.23","1,291.12","1,270.34","-","-1.29%"
"Aug 18, 2021","1,290.83","1,283.64","1,291.93","1,281.25","-","0.56%"
"Aug 17, 2021","1,283.64","1,274.52","1,283.89","1,273.03","-","0.66%"
"Aug 16, 2021","1,275.22","1,275.27","1,275.86","1,269.92","-","-0.00%"
"Aug 13, 2021","1,275.27","1,272.87","1,276.18","1,269.78","-","0.19%"
"Aug 12, 2021","1,272.87","1,252.53","1,274.23","1,252.09","-","1.61%"
"Aug 11, 2021","1,252.71","1,237.58","1,253.82","1,237.58","-","1.22%"
"Aug 10, 2021","1,237.65","1,242.39","1,244.23","1,235.67","-","-0.43%"
"Aug 09, 2021","1,242.95","1,238.58","1,247.27","1,235.44","-","0.37%"
"Aug 06, 2021","1,238.39","1,232.67","1,238.39","1,232.45","-","0.46%"
"Aug 05, 2021","1,232.67","1,227.54","1,233.17","1,227.54","-","0.42%"
"Aug 04, 2021","1,227.54","1,220.77","1,230.16","1,220.18","-","0.56%"
"Aug 03, 2021","1,220.73","1,223.19","1,229.15","1,219.60","-","-0.21%"
"Aug 02, 2021","1,223.26","1,210.57","1,224.09","1,210.57","-","1.14%"
"Jul 30, 2021","1,209.45","1,202.10","1,212.53","1,201.70","-","0.42%"
"Jul 29, 2021","1,204.44","1,200.60","1,204.69","1,198.19","-","0.32%"
"Jul 28, 2021","1,200.60","1,196.06","1,201.04","1,194.51","-","0.37%"
"Jul 27, 2021","1,196.15","1,198.50","1,200.34","1,194.86","-","-0.19%"
"Jul 26, 2021","1,198.42","1,190.23","1,199.27","1,187.50","-","0.69%"
"Jul 23, 2021","1,190.23","1,191.83","1,194.94","1,190.23","-","-0.17%"
"Jul 22, 2021","1,192.24","1,188.12","1,197.81","1,185.36","-","0.35%"
"Jul 21, 2021","1,188.12","1,185.09","1,191.08","1,178.06","-","0.32%"
"Jul 20, 2021","1,184.34","1,175.51","1,190.16","1,171.82","-","0.62%"
"Jul 19, 2021","1,177.01","1,197.47","1,199.12","1,177.01","-","-1.71%"
"Jul 16, 2021","1,197.47","1,197.16","1,205.38","1,197.16","-","0.03%"
"Jul 15, 2021","1,197.16","1,159.42","1,202.05","1,156.44","-","3.29%"
"Jul 14, 2021","1,159.05","1,154.37","1,160.19","1,151.96","-","0.39%"
"Jul 13, 2021","1,154.59","1,160.14","1,160.14","1,154.59","-","-0.42%"
"Jul 12, 2021","1,159.44","1,155.20","1,160.80","1,154.19","-","0.29%"
"Jul 09, 2021","1,156.04","1,147.59","1,156.04","1,147.59","-","0.74%"
"Jul 08, 2021","1,147.59","1,157.93","1,160.22","1,144.79","-","-0.89%"
"Jul 07, 2021","1,157.91","1,151.37","1,158.14","1,149.71","-","0.50%"
"Jul 02, 2021","1,152.13","1,144.45","1,153.81","1,144.45","-","0.68%"
"Jul 01, 2021","1,144.40","1,152.85","1,158.09","1,137.57","-","-0.73%"
"Jun 30, 2021","1,152.85","1,162.52","1,164.28","1,151.47","-","-0.82%"
"Jun 29, 2021","1,162.39","1,160.86","1,164.66","1,158.20","-","0.13%"
"Jun 28, 2021","1,160.86","1,161.20","1,164.31","1,157.85","-","-0.03%"
"Jun 25, 2021","1,161.18","1,161.55","1,165.82","1,160.14","-","-0.05%"
"Jun 24, 2021","1,161.73","1,162.04","1,166.77","1,160.21","-","-0.02%"
"Jun 23, 2021","1,161.99","1,163.48","1,165.97","1,161.01","-","-0.10%"
"Jun 22, 2021","1,163.14","1,166.12","1,168.46","1,162.53","-","-0.24%"
"Jun 21, 2021","1,165.95","1,160.85","1,166.90","1,156.36","-","0.34%"
"Jun 18, 2021","1,162.01","1,173.63","1,178.01","1,158.90","-","-1.02%"
"Jun 17, 2021","1,173.95","1,171.36","1,177.59","1,170.13","-","0.22%"
"Jun 16, 2021","1,171.36","1,175.34","1,178.40","1,170.43","-","-0.34%"
"Jun 15, 2021","1,175.34","1,179.63","1,182.24","1,173.88","-","-0.40%"
"Jun 14, 2021","1,180.01","1,177.37","1,183.87","1,177.37","-","0.23%"
"Jun 11, 2021","1,177.31","1,179.62","1,181.33","1,175.51","-","-0.19%"
"Jun 10, 2021","1,179.61","1,180.24","1,182.96","1,178.17","-","-0.05%"
"Jun 09, 2021","1,180.24","1,177.73","1,182.68","1,176.84","-","0.19%"
"Jun 08, 2021","1,177.99","1,180.22","1,182.41","1,177.86","-","-0.19%"
"Jun 07, 2021","1,180.23","1,178.09","1,182.73","1,176.59","-","0.14%"
"Jun 04, 2021","1,178.61","1,174.97","1,178.84","1,171.55","-","0.33%"
"Jun 03, 2021","1,174.71","1,174.22","1,176.00","1,170.85","-","0.08%"
"Jun 02, 2021","1,173.82","1,174.11","1,176.70","1,170.86","-","0.01%"
"Jun 01, 2021","1,173.71","1,162.79","1,174.55","1,160.30","-","0.95%"
"May 31, 2021","1,162.71","1,162.80","1,167.02","1,162.05","-","-0.07%"
"May 28, 2021","1,163.51","1,164.82","1,167.94","1,162.61","-","-0.12%"
"May 27, 2021","1,164.90","1,158.99","1,168.07","1,158.69","-","0.54%"
"May 26, 2021","1,158.59","1,168.26","1,169.34","1,155.00","-","-0.83%"
"May 25, 2021","1,168.29","1,159.37","1,172.00","1,157.87","-","0.77%"
"May 24, 2021","1,159.34","1,158.95","1,161.41","1,154.76","-","0.04%"
"May 21, 2021","1,158.93","1,149.96","1,161.33","1,149.96","-","0.78%"
"May 20, 2021","1,149.96","1,136.04","1,150.42","1,136.04","-","1.30%"
"May 19, 2021","1,135.24","1,143.45","1,145.18","1,135.03","-","-0.70%"
"May 18, 2021","1,143.30","1,132.52","1,146.22","1,131.32","-","1.13%"
"May 17, 2021","1,130.52","1,122.13","1,131.04","1,122.03","-","0.78%"
"May 14, 2021","1,121.81","1,105.41","1,121.84","1,105.41","-","1.48%"
"May 13, 2021","1,105.41","1,110.26","1,110.37","1,101.29","-","-0.44%"
"May 12, 2021","1,110.26","1,106.23","1,111.30","1,106.08","-","0.39%"
"May 11, 2021","1,105.93","1,111.90","1,112.16","1,100.40","-","-0.54%"
"May 10, 2021","1,111.92","1,109.22","1,116.97","1,109.16","-","0.18%"
"May 07, 2021","1,109.87","1,096.53","1,110.17","1,096.53","-","1.22%"
"May 06, 2021","1,096.51","1,101.92","1,107.60","1,096.51","-","-0.49%"
"May 05, 2021","1,101.92","1,098.82","1,103.93","1,098.82","-","0.29%"
"May 04, 2021","1,098.74","1,105.14","1,111.81","1,098.60","-","-0.59%"
"May 03, 2021","1,105.22","1,100.25","1,109.06","1,100.25","-","0.45%"
"Apr 30, 2021","1,100.25","1,104.49","1,107.48","1,098.97","-","-0.33%"
"Apr 29, 2021","1,103.89","1,103.71","1,112.16","1,103.64","-","0.02%"
"Apr 28, 2021","1,103.71","1,096.44","1,104.86","1,096.44","-","0.66%"
"Apr 27, 2021","1,096.44","1,095.20","1,098.04","1,093.59","-","0.11%"
"Apr 26, 2021","1,095.20","1,087.61","1,096.66","1,087.61","-","0.70%"
"Apr 23, 2021","1,087.61","1,093.81","1,094.27","1,083.30","-","-0.43%"
"Apr 22, 2021","1,092.33","1,092.45","1,096.75","1,090.04","-","0.02%"
"Apr 21, 2021","1,092.13","1,102.33","1,103.57","1,087.22","-","-0.92%"
"Apr 20, 2021","1,102.22","1,108.21","1,121.72","1,101.11","-","-0.52%"
"Apr 19, 2021","1,108.01","1,103.81","1,109.53","1,098.99","-","0.38%"
"Apr 16, 2021","1,103.78","1,094.42","1,106.60","1,094.33","-","0.88%"
"Apr 15, 2021","1,094.11","1,096.78","1,100.23","1,090.49","-","-0.11%"
"Apr 14, 2021","1,095.28","1,101.97","1,103.16","1,088.44","-","-0.57%"
"Apr 13, 2021","1,101.54","1,096.47","1,110.52","1,096.47","-","0.46%"
"Apr 12, 2021","1,096.47","1,092.03","1,097.59","1,091.98","-","0.42%"
"Apr 09, 2021","1,091.83","1,089.02","1,094.15","1,088.58","-","0.34%"
"Apr 08, 2021","1,088.16","1,088.40","1,092.37","1,085.36","-","0.03%"
"Apr 07, 2021","1,087.82","1,094.48","1,094.48","1,087.32","-","-0.55%"
"Apr 06, 2021","1,093.89","1,092.23","1,101.05","1,092.23","-","0.18%"
"Apr 01, 2021","1,091.97","1,090.72","1,094.25","1,089.93","-","0.13%"
"Mar 31, 2021","1,090.50","1,093.28","1,097.03","1,090.07","-","-0.14%"
"Mar 30, 2021","1,092.00","1,089.08","1,094.06","1,087.52","-","0.27%"
"Mar 29, 2021","1,089.08","1,094.68","1,094.73","1,083.20","-","-0.50%"
"Mar 26, 2021","1,094.50","1,082.86","1,095.31","1,082.86","-","1.03%"
"Mar 25, 2021","1,083.37","1,090.62","1,090.62","1,077.71","-","-0.63%"
"Mar 24, 2021","1,090.19","1,089.06","1,091.07","1,082.66","-","0.12%"
"Mar 23, 2021","1,088.84","1,084.59","1,089.54","1,084.59","-","0.39%"
"Mar 22, 2021","1,084.65","1,084.49","1,090.18","1,084.05","-","0.42%"
"Mar 19, 2021","1,080.07","1,095.46","1,095.46","1,079.27","-","-1.43%"
"Mar 18, 2021","1,095.79","1,081.91","1,096.98","1,081.36","-","1.26%"
"Mar 17, 2021","1,082.14","1,077.63","1,083.74","1,077.33","-","0.38%"
"Mar 16, 2021","1,078.08","1,081.54","1,083.04","1,077.50","-","-0.32%"
"Mar 15, 2021","1,081.51","1,077.39","1,084.24","1,077.31","-","0.39%"
"Mar 12, 2021","1,077.33","1,074.01","1,077.33","1,070.91","-","0.34%"
"Mar 11, 2021","1,073.65","1,070.86","1,077.14","1,069.39","-","0.26%"
"Mar 10, 2021","1,070.86","1,065.40","1,073.32","1,064.61","-","0.51%"
"Mar 09, 2021","1,065.40","1,065.40","1,066.97","1,058.91","-","0.03%"
"Mar 08, 2021","1,065.05","1,067.04","1,071.68","1,060.08","-","-0.24%"
"Mar 05, 2021","1,067.58","1,058.47","1,071.53","1,053.58","-","0.86%"
"Mar 04, 2021","1,058.47","1,056.05","1,061.84","1,053.46","-","0.23%"
"Mar 03, 2021","1,056.05","1,069.57","1,073.81","1,056.05","-","-1.26%"
"Mar 02, 2021","1,069.57","1,066.72","1,072.80","1,066.72","-","0.31%"
"Mar 01, 2021","1,066.26","1,057.60","1,073.39","1,057.60","-","0.82%"
"Feb 26, 2021","1,057.60","1,067.49","1,067.49","1,052.95","-","-0.96%"
"Feb 25, 2021","1,067.84","1,053.06","1,068.88","1,053.06","-","1.40%"
"Feb 24, 2021","1,053.06","1,043.40","1,060.29","1,043.40","-","1.05%"
"Feb 23, 2021","1,042.16","1,041.95","1,049.22","1,041.29","-","-0.05%"
"Feb 22, 2021","1,042.64","1,054.18","1,054.18","1,038.06","-","-1.11%"
"Feb 19, 2021","1,054.36","1,055.67","1,057.65","1,048.44","-","-0.17%"
"Feb 18, 2021","1,056.13","1,060.14","1,064.53","1,055.71","-","-0.35%"
"Feb 17, 2021","1,059.85","1,069.94","1,073.16","1,059.06","-","-0.98%"
"Feb 16, 2021","1,070.35","1,071.65","1,077.70","1,068.15","-","-0.11%"
"Feb 15, 2021","1,071.51","1,060.39","1,075.13","1,060.39","-","1.05%"
"Feb 12, 2021","1,060.37","1,055.23","1,061.64","1,055.08","-","0.49%"
"Feb 11, 2021","1,055.23","1,060.66","1,062.27","1,055.23","-","-0.51%"
"Feb 10, 2021","1,060.64","1,059.57","1,064.61","1,058.79","-","0.14%"
"Feb 09, 2021","1,059.15","1,063.85","1,063.85","1,056.69","-","-0.32%"
"Feb 08, 2021","1,062.60","1,062.96","1,070.74","1,062.39","-","-0.01%"
"Feb 05, 2021","1,062.68","1,051.75","1,062.68","1,051.40","-","1.12%"
"Feb 04, 2021","1,050.92","1,051.92","1,056.25","1,048.05","-","0.10%"
"Feb 03, 2021","1,049.85","1,048.55","1,054.99","1,048.12","-","0.21%"
"Feb 02, 2021","1,047.66","1,029.04","1,049.50","1,029.04","-","1.91%"
"Feb 01, 2021","1,028.07","1,018.74","1,034.14","1,018.19","-","1.05%"
"Jan 29, 2021","1,017.36","1,028.68","1,029.15","1,012.70","-","-1.02%"
"Jan 28, 2021","1,027.89","1,035.78","1,035.78","1,011.05","-","-0.76%"
"Jan 27, 2021","1,035.78","1,057.50","1,057.78","1,034.57","-","-1.89%"
"Jan 26, 2021","1,055.77","1,061.10","1,061.15","1,054.96","-","-0.50%"
"Jan 25, 2021","1,061.07","1,049.27","1,072.26","1,049.27","-","1.14%"
"Jan 22, 2021","1,049.07","1,060.28","1,060.69","1,040.17","-","-0.94%"
"Jan 21, 2021","1,059.04","1,075.68","1,077.50","1,058.14","-","-1.47%"
"Jan 20, 2021","1,074.86","1,072.99","1,077.96","1,070.50","-","0.17%"
"Jan 19, 2021","1,072.99","1,074.95","1,079.82","1,072.47","-","-0.18%"
"Jan 18, 2021","1,074.97","1,073.18","1,080.95","1,068.62","-","0.13%"
"Jan 15, 2021","1,073.53","1,075.61","1,079.27","1,073.38","-","-0.19%"
"Jan 14, 2021","1,075.61","1,076.57","1,080.86","1,075.06","-","-0.09%"
"Jan 13, 2021","1,076.57","1,076.49","1,079.65","1,073.70","-","0.03%"
"Jan 12, 2021","1,076.29","1,071.71","1,081.22","1,071.71","-","0.43%"
"Jan 11, 2021","1,071.71","1,075.66","1,082.80","1,067.39","-","-0.35%"
"Jan 08, 2021","1,075.43","1,051.88","1,075.43","1,051.46","-","2.32%"
"Jan 07, 2021","1,051.05","1,037.54","1,051.05","1,037.26","-","1.30%"
"Jan 06, 2021","1,037.52","1,027.69","1,038.62","1,024.65","-","0.96%"
"Jan 05, 2021","1,027.67","1,029.27","1,029.27","1,019.93","-","-0.16%"
"Jan 04, 2021","1,029.27","1,028.19","1,036.00","1,025.53","-","0.21%"
"Dec 30, 2020","1,027.14","1,030.48","1,031.17","1,025.35","-","-0.34%"
"Dec 29, 2020","1,030.62","1,023.86","1,033.73","1,023.86","-","0.71%"
"Dec 28, 2020","1,023.40","1,009.60","1,024.02","1,009.60","-","1.45%"
"Dec 23, 2020","1,008.78","1,002.07","1,008.89","999.07","-","0.69%"
"Dec 22, 2020","1,001.90","978.07","1,003.92","978.07","-","2.44%"
"Dec 21, 2020","978.07","1,009.23","1,009.23","965.92","-","-3.09%"
"Dec 18, 2020","1,009.23","1,009.98","1,012.71","1,006.57","-","-0.03%"
"Dec 17, 2020","1,009.51","998.82","1,009.99","998.73","-","1.07%"
"Dec 16, 2020","998.82","989.87","1,001.12","989.43","-","1.16%"
"Dec 15, 2020","987.38","983.02","989.16","980.66","-","0.57%"
"Dec 14, 2020","981.78","968.51","985.59","967.05","-","1.37%"
"Dec 11, 2020","968.51","977.17","979.64","962.79","-","-0.83%"
